wall_time,elapsed_ms,timestamp_ms,distance_cm,depth_cm,bpm,count,posture_correct,shoulder_vertical,elbow_hold_ratio,voice_feedback
2026-06-01T14:00:24.466,5047,1282718312,4.3,4.948035711555288,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.500,5094,1282718359,4.3,5.478113852819085,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.533,5125,1282718390,7.2,6.209168551703742,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.572,5156,1282718421,7.2,6.720906840923002,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.603,5188,1282718453,13.0,7.079123643376484,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.633,5219,1282718484,13.0,7.329875405093921,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.667,5250,1282718515,15.7,5.765401638296128,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.700,5281,1282718546,15.7,4.670270001537672,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.733,5313,1282718578,13.6,3.723677855806753,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.767,5360,1282718625,13.6,3.06106335379511,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.799,5391,1282718656,15.3,2.142744347656577,63.649222065063654,4,True,False,1.0,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.833,5422,1282718687,15.3,1.4999210433596037,63.649222065063654,4,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.883,5469,1282718734,14.6,1.2024318264347822,63.649222065063654,4,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.917,5500,1282718765,4.3,0.9941893745874071,63.649222065063654,4,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.953,5531,1282718796,4.3,0.8484196582942445,63.649222065063654,4,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.989,5578,1282718843,8.4,2.6063808568890305,63.649222065063654,4,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:25.017,5610,1282718875,8.4,3.8369536959053807,63.649222065063654,4,True,False,,조금 더 빠르게 압박하세요.
